;2001;2002;2003;2004;2005;2006;2010;2011;2014;2015
Boucle du Mouhoun;640;640;632;674;696;785;5 485;3 527;1 819;2 077
Cascades;759;817;875;909;974;1 010;4 471;5 614;1 794;1 902
Centre;17 675;17 988;18 780;21 486;25 084;27 167;120 030;158 365;13 049;13 468
Centre-Est;994;1 061;1 003;1 056;1 066;1 120;4 918;5 530;2 116;1 998
Centre-Nord;381;405;429;454;480;533;4 258;4 714;1 489;1 645
Centre-Ouest;1 054;1 257;1 276;1 351;1 324;1 409;11 330;8 879;2 702;3 124
Centre-Sud;293;298;328;373;386;421;1 868;2 175;681;778
Est;248;323;287;316;349;373;3 177;2 502;1 099;1 270
Hauts-Bassins;7 312;7 485;7 750;8 588;9 070;9 672;42 244;38 316;15 212;16 161
Nord;884;1 019;947;1 150;1 058;1 214;5 288;4 911;1 935;1 925
Plateau Central;0;0;35;30;77;225;461;1 841;36 040;37 477
Sahel;387;382;423;472;459;472;3 181;2 871;1 040;1 144
Sud-Ouest;236;234;231;281;363;397;2 008;1 651;763;834

